SSID,date,nb_idp,name,lat,long
BGI_S001,22/10/2015,7312,Aéroport,4.39711463562374,18.5272680136985
BGI_S002,22/10/2015,87,Communaute des Ap™tres de Jesus Crucifi_ / Centre de Sante Padre Pio ,4.34953325000236,18.5206669624847
BGI_S009,22/10/2015,43,Don Bosco / Damala ,4.40464110752145,18.5317109328621
BGI_S011,22/10/2015,0,Eglise des Frères Castors,4.37667004156725,18.5485102341563
BGI_S015,22/10/2015,100,Eglise Notre de Dame de Fatima,4.36463270415322,18.536601961878
BGI_S017,22/10/2015,3020,Faculte de Theologie (FATEB),4.37325658373089,18.5646784490291
BGI_S020,22/10/2015,83,Grand s_minaire St Marc de Bimbo ,4.33792450484305,18.5320811550003
BGI_S029,22/10/2015,384,Mission Carmel,4.3500077746735,18.5121446837636
BGI_S030,22/10/2015,0,Mission St Charles Luanga,4.35921432841101,18.564827722256
BGI_S034,22/10/2015,0,Paroisse Sainte Trinit_ des Castors,4.37682021861228,18.5482906945112
BGI_S038,22/10/2015,45,Saint Antoine de Padoue,4.33017993588909,18.5298564299949
BGI_S039,22/10/2015,0,Saint Jean de Galabadja,4.41470865268185,18.5400632799663
BGI_S041,22/10/2015,113,St Joseph de Mukassa ,4.36841137637485,18.5244567986388
BGI_S053,22/10/2015,0,Quartier Votongbo2,0,0
BGI_S042,22/10/2015,57,St Mathias,4.37694217590886,18.5354531269865
BGI_S044,22/10/2015,118,St. Jacques de Kpetene,4.36485999681403,18.5455600532004
BGI_S059,22/10/2015,577,Mosquee Central,0,0
BGI_S067,22/10/2015,3300,St Sauveur,0,0
BGI_S068,22/10/2015,4711,Centre Jean 23,0,0
BGI_S069,22/10/2015,775,eglise Four Square,0,0
BGI_S079,22/10/2015,20,Maison micheline,0,0
BGI_S080,22/10/2015,0,Pere Comboniens / St Joseph de Bimbo,0,0
BGI_S083,22/10/2015,39,Eglise Evangelique Lutherienne,0,0
BGI_S098,22/10/2015,0,Capucins,0,0
BGI_S102,22/10/2015,98,Complex Scolaire Adventiste,0,0
BGI_S103,22/10/2015,713,Complexe P_dagogique Bethanie,0,0
