SSID;date;nb_idp
BGI_S119;26/10/2015;122
BGI_S069;28/10/2015;30
BGI_S104;28/10/2015;360
BGI_S002;30/10/2015;507
BGI_S029;30/10/2015;1066
BGI_S038;30/10/2015;92
BGI_S067;30/10/2015;50
BGI_S079;30/10/2015;31
BGI_S098;30/10/2015;92
BGI_S103;30/10/2015;87
BGI_S111;30/10/2015;-149
BGI_S112;30/10/2015;250
BGI_S119;30/10/2015;38
BGI_S120;30/10/2015;81
BGI_S121;30/10/2015;370
BGI_S079;31/10/2015;27
BGI_S104;31/10/2015;200
BGI_S119;31/10/2015;210
BGI_S120;31/10/2015;-21
BGI_S038;02/11/2015;13
BGI_S079;02/11/2015;5
BGI_S120;02/11/2015;21
BGI_S002;03/11/2015;276
BGI_S015;03/11/2015;171
BGI_S038;03/11/2015;369
BGI_S067;03/11/2015;11
BGI_S103;03/11/2015;50
BGI_S104;03/11/2015;-308
BGI_S121;03/11/2015;355
BGI_S002;04/11/2015;110
BGI_S038;04/11/2015;405
BGI_S017;05/11/2015;578
BGI_S067;05/11/2015;4
BGI_S104;05/11/2015;20
BGI_S001;06/11/2015;2438
BGI_S011;06/11/2015;602
BGI_S015;06/11/2015;429
BGI_S020;06/11/2015;2065
BGI_S029;06/11/2015;3065
BGI_S041;06/11/2015;750
BGI_S059;07/11/2015;27
BGI_S112;07/11/2015;-181
BGI_S120;07/11/2015;-23
BGI_S121;07/11/2015;159
