SSID,date,nb_idp,SSID,name,lat,long
BGI_S119,26/10/2015,122,BGI_S119,#N/A,0,0
BGI_S069,28/10/2015,30,BGI_S069,eglise Four Square,0,0
BGI_S104,28/10/2015,360,BGI_S104,Sanctuaire du Benzvi,0,0
BGI_S002,30/10/2015,507,BGI_S002,Communaute des Apªtres de Jesus Crucifi_ / Centre de Sante Padre Pio ,4.34953325000236,18.5206669624847
BGI_S029,30/10/2015,1066,BGI_S029,Mission Carmel,4.3500077746735,18.5121446837636
BGI_S038,30/10/2015,92,BGI_S038,Saint Antoine de Padoue,4.33017993588909,18.5298564299949
BGI_S067,30/10/2015,50,BGI_S067,St Sauveur,0,0
BGI_S079,30/10/2015,31,BGI_S079,Maison micheline,0,0
BGI_S098,30/10/2015,92,BGI_S098,Capucins,0,0
BGI_S103,30/10/2015,87,BGI_S103,Complexe P_dagogique Bethanie,0,0
BGI_S111,30/10/2015,-149,BGI_S111,ND Chartres,0,0
BGI_S112,30/10/2015,250,BGI_S112,Ecole Koudoukou,0,0
BGI_S119,30/10/2015,38,BGI_S119,#N/A,0,0
BGI_S120,30/10/2015,81,BGI_S120,#N/A,0,0
BGI_S121,30/10/2015,370,BGI_S121,#N/A,0,0
BGI_S079,31/10/2015,27,BGI_S079,Maison micheline,0,0
BGI_S104,31/10/2015,200,BGI_S104,Sanctuaire du Benzvi,0,0
BGI_S119,31/10/2015,210,BGI_S119,#N/A,0,0
BGI_S120,31/10/2015,-21,BGI_S120,#N/A,0,0
BGI_S038,02/11/2015,13,BGI_S038,Saint Antoine de Padoue,4.33017993588909,18.5298564299949
BGI_S079,02/11/2015,5,BGI_S079,Maison micheline,0,0
BGI_S120,02/11/2015,21,BGI_S120,#N/A,0,0
BGI_S002,03/11/2015,276,BGI_S002,Communaute des Apªtres de Jesus Crucifi_ / Centre de Sante Padre Pio ,4.34953325000236,18.5206669624847
BGI_S015,03/11/2015,171,BGI_S015,Eglise Notre de Dame de Fatima,4.36463270415322,18.536601961878
BGI_S038,03/11/2015,369,BGI_S038,Saint Antoine de Padoue,4.33017993588909,18.5298564299949
BGI_S067,03/11/2015,11,BGI_S067,St Sauveur,0,0
BGI_S103,03/11/2015,50,BGI_S103,Complexe P_dagogique Bethanie,0,0
BGI_S104,03/11/2015,-308,BGI_S104,Sanctuaire du Benzvi,0,0
BGI_S121,03/11/2015,355,BGI_S121,#N/A,0,0
BGI_S002,04/11/2015,110,BGI_S002,Communaute des Apªtres de Jesus Crucifi_ / Centre de Sante Padre Pio ,4.34953325000236,18.5206669624847
BGI_S038,04/11/2015,405,BGI_S038,Saint Antoine de Padoue,4.33017993588909,18.5298564299949
BGI_S017,05/11/2015,578,BGI_S017,Faculte de Theologie (FATEB),4.37325658373089,18.5646784490291
BGI_S067,05/11/2015,4,BGI_S067,St Sauveur,0,0
BGI_S104,05/11/2015,20,BGI_S104,Sanctuaire du Benzvi,0,0
BGI_S001,06/11/2015,2438,BGI_S001,A_roport,4.39711463562374,18.5272680136985
BGI_S011,06/11/2015,602,BGI_S011,Eglise des Frères Castors,4.37667004156725,18.5485102341563
BGI_S015,06/11/2015,429,BGI_S015,Eglise Notre de Dame de Fatima,4.36463270415322,18.536601961878
BGI_S020,06/11/2015,2065,BGI_S020,Grand s_minaire St Marc de Bimbo ,4.33792450484305,18.5320811550003
BGI_S029,06/11/2015,3065,BGI_S029,Mission Carmel,4.3500077746735,18.5121446837636
BGI_S041,06/11/2015,750,BGI_S041,St Joseph de Mukassa ,4.36841137637485,18.5244567986388
BGI_S059,07/11/2015,27,BGI_S059,Mosquee Central,0,0
BGI_S112,07/11/2015,-181,BGI_S112,Ecole Koudoukou,0,0
BGI_S120,07/11/2015,-23,BGI_S120,#N/A,0,0
BGI_S121,07/11/2015,159,BGI_S121,#N/A,0,0
